 averageDensity ratio deltaenergy energy
85 1.431578947369868 0.45 0.0013840994362159767 -0.47764170700884634
86 0.9578947368384754 0.47 0.001147303632508183 -0.8932334696129469
87 1.3368421052595696 0.47 0.001493804214843764 -0.6885122462652786
88 2.3084053051674185 0.75 0.002880142521026854 -1.5552090609318994
89 3.0752200665191793 0.8 0.0032005562676739826 -1.7802309727822583
90 0.6200020228295118 0.7 0.0015918897461431158 -1.1265149162103874
91 2.6014398407113055 0.7 0.0026170608889268423 -1.4286617840684668
92 2.421434651922443 0.7 0.001528421123877525 -1.4241275925004153
93 2.0 0.75 0.0025987197720857935 -1.5101969066666667
94 2.6014398407113055 0.65 0.002463880274669802 -1.2151013112426032
95 4.096758241005312 0.8 0.003427637247680821 -1.8882233618951603
96 4.0 0.6 0.003798211907878422 -0.39480301193755724
